glob_id,external_id,similarity_score,method,overlap
GLOB_21,GLOB_GAVOC_01316,92.3076923076923,1,False
GLOB_707,GLOB_GAVOC_01316,100.0,1,False
GLOB_707,GLOB_GAVOC_01332,91.66666666666666,1,False
GLOB_480,GLOB_GAVOC_01338,100.0,1,False
GLOB_522,GLOB_GAVOC_01351,100.0,1,False
GLOB2_1901,GLOB_GAVOC_01354,100.0,1,False
GLOB2_1901,GLOB_GAVOC_01355,100.0,no_coordinates,False
GLOB2_E_36,GLOB_GAVOC_01370,100.0,1,True
GLOB2_1159,GLOB_GAVOC_01378,100.0,1,True
GLOB2_998,GLOB_GAVOC_01383,100.0,1,False
GLOB2_998,GLOB_GAVOC_01388,100.0,1,False
GLOB_477,GLOB_GAVOC_01406,100.0,1,False
GLOB_306,GLOB_GAVOC_01439,96.55172413793103,1,False
GLOB_RT_261,GLOB_GAVOC_01446,92.3076923076923,1,False
GLOB_545,GLOB_GAVOC_01447,100.0,no_coordinates,False
GLOB2_950,GLOB_GAVOC_01466,100.0,1,True
GLOB_284,GLOB_GAVOC_01480,90.0,1,False
GLOB_PY_21,GLOB_GAVOC_01493,100.0,1,True
GLOB_313,GLOB_GAVOC_01506,100.0,1,False
GLOB_321,GLOB_GAVOC_01510,100.0,1,False
GLOB_672,GLOB_GAVOC_01512,100.0,1,False
GLOB2_914,GLOB_GAVOC_01522,100.0,1,True
GLOB2_E_240,GLOB_GAVOC_01522,100.0,1,False
GLOB2_914,GLOB_GAVOC_01523,100.0,1,False
GLOB2_E_239,GLOB_GAVOC_01523,100.0,1,False
GLOB2_E_240,GLOB_GAVOC_01523,100.0,1,False
GLOB2_914,GLOB_GAVOC_01530,100.0,1,False
GLOB_BN_148,GLOB_GAVOC_01563,92.3076923076923,1,False
GLOB_RT_36,GLOB_GAVOC_01567,100.0,1,False
GLOB_RT_36,GLOB_GAVOC_01569,100.0,1,True
GLOB_RT_127,GLOB_GAVOC_01577,100.0,1,False
GLOB_RT_158,GLOB_GAVOC_01583,96.7741935483871,1,True
GLOB2_1067,GLOB_GAVOC_01616,100.0,1,False
GLOB2_1219,GLOB_GAVOC_01616,100.0,1,False
GLOB_E_242,GLOB_GAVOC_01616,100.0,1,False
GLOB2_907,GLOB_GAVOC_01620,100.0,1,False
GLOB2_1826,GLOB_GAVOC_01636,100.0,1,False
GLOB_RT_111,GLOB_GAVOC_01639,100.0,1,False
GLOB_RT_115,GLOB_GAVOC_01639,82.35294117647058,1,False
GLOB_RT_35,GLOB_GAVOC_01639,87.5,1,False
GLOB_603,GLOB_GAVOC_01641,100.0,1,False
GLOB_RT_86,GLOB_GAVOC_01650,100.0,1,False
NR_69,GLOB_GAVOC_01651,90.0,1,False
GLOB_281,GLOB_GAVOC_01668,100.0,1,False
GLOB_RT_89,GLOB_GAVOC_01675,100.0,1,False
GLOB2_1213,GLOB_GAVOC_01676,100.0,1,False
GLOB_24,GLOB_GAVOC_01678,100.0,1,False
GLOB_RT_213,GLOB_GAVOC_01691,100.0,1,False
GLOB_495,GLOB_GAVOC_01700,100.0,1,False
GLOB_RT_253,GLOB_GAVOC_01702,100.0,1,False
GLOB_RT_145,GLOB_GAVOC_01704,100.0,1,True
GLOB_RT_33,GLOB_GAVOC_01708,100.0,1,False
GLOB_26,GLOB_GAVOC_01710,100.0,1,False
GLOB2_1010,GLOB_GAVOC_01716,100.0,1,False
GLOB_478,GLOB_GAVOC_01720,100.0,1,False
GLOB2_1867,GLOB_GAVOC_01723,94.11764705882352,1,False
GLOB_63,GLOB_GAVOC_01726,100.0,1,False
GLOB_369,GLOB_GAVOC_01734,85.71428571428572,1,False
GLOB_799,GLOB_GAVOC_01741,100.0,1,False
GLOB_718,GLOB_GAVOC_01745,100.0,1,False
GLOB_RT_206,GLOB_GAVOC_01747,100.0,1,False
GLOB_263,GLOB_GAVOC_01773,100.0,1,False
GLOB_27,GLOB_GAVOC_01775,100.0,1,False
GLOB_27_HUM_1,GLOB_GAVOC_01775,100.0,1,False
GLOB_27_HUM_2,GLOB_GAVOC_01775,100.0,1,False
GLOB_27_HUM_3,GLOB_GAVOC_01775,100.0,1,False
GLOB_27,GLOB_GAVOC_01776,100.0,1,False
GLOB_27_HUM_1,GLOB_GAVOC_01776,100.0,1,False
GLOB_27_HUM_2,GLOB_GAVOC_01776,100.0,1,False
GLOB_27_HUM_3,GLOB_GAVOC_01776,100.0,1,False
GLOB_27,GLOB_GAVOC_01784,100.0,1,False
GLOB_27_HUM_1,GLOB_GAVOC_01784,100.0,1,False
GLOB_27_HUM_2,GLOB_GAVOC_01784,100.0,1,False
GLOB_27_HUM_3,GLOB_GAVOC_01784,100.0,1,False
NR_244,GLOB_GAVOC_01788,94.11764705882352,no_coordinates,False
GLOB_RT_17,GLOB_GAVOC_01790,82.35294117647058,1,True
GLOB_RT_6,GLOB_GAVOC_01790,100.0,1,False
GLOB_RT_130,GLOB_GAVOC_01792,100.0,1,False
GLOB_RT_136,GLOB_GAVOC_01795,100.0,1,False
GLOB2_1527,GLOB_GAVOC_01799,100.0,1,False
GLOB_493,GLOB_GAVOC_01801,100.0,1,False
GLOB_493_HUM_1,GLOB_GAVOC_01801,100.0,1,False
GLOB_235,GLOB_GAVOC_01804,85.71428571428572,1,False
GLOB_28,GLOB_GAVOC_01804,100.0,1,False
GLOB2_1132,GLOB_GAVOC_01807,100.0,1,False
GLOB2_E_247,GLOB_GAVOC_01813,100.0,1,True
GLOB2_1236,GLOB_GAVOC_01816,100.0,1,True
GLOB_798,GLOB_GAVOC_01831,90.9090909090909,no_coordinates,False
GLOB_873,GLOB_GAVOC_01832,100.0,1,False
GLOB2_1341,GLOB_GAVOC_01845,100.0,1,False
GLOB_29,GLOB_GAVOC_01849,100.0,1,False
GLOB_29,GLOB_GAVOC_01853,100.0,1,False
GLOB_597,GLOB_GAVOC_01863,100.0,1,False
GLOB_RT_228,GLOB_GAVOC_01867,100.0,1,False
NR_85,GLOB_GAVOC_01872,100.0,1,False
GLOB_NB_201,GLOB_GAVOC_01873,100.0,1,False
GLOB_30,GLOB_GAVOC_01875,100.0,1,False
GLOB_33,GLOB_GAVOC_01901,100.0,1,False
GLOB_33,GLOB_GAVOC_01908,100.0,1,False
GLOB2_1050,GLOB_GAVOC_01935,90.9090909090909,1,False
GLOB2_1050_GEO_2,GLOB_GAVOC_01935,90.9090909090909,1,False
GLOB2_1050_HUM_1,GLOB_GAVOC_01935,90.9090909090909,1,False
GLOB_RT_15,GLOB_GAVOC_01938,100.0,1,False
GLOB_RT_22,GLOB_GAVOC_01941,100.0,1,False
GLOB_RT_133,GLOB_GAVOC_01943,100.0,1,False
GLOB_RT_193,GLOB_GAVOC_01949,90.0,1,False
GLOB_RT_247,GLOB_GAVOC_01952,100.0,1,False
GLOB2_1865,GLOB_GAVOC_01955,100.0,1,True
GLOB2_1050,GLOB_GAVOC_01956,100.0,1,False
GLOB2_1050_GEO_1,GLOB_GAVOC_01956,84.84848484848484,1,True
GLOB2_1050_GEO_2,GLOB_GAVOC_01956,94.11764705882352,1,False
GLOB2_1050_HUM_1,GLOB_GAVOC_01956,94.11764705882352,1,False
GLOB_35,GLOB_GAVOC_01961,100.0,1,False
GLOB_217,GLOB_GAVOC_01968,100.0,1,False
GLOB_564,GLOB_GAVOC_01972,100.0,1,False
GLOB_564_GEO_1,GLOB_GAVOC_01972,100.0,1,False
GLOB_564_GEO_2,GLOB_GAVOC_01972,100.0,1,False
GLOB_779,GLOB_GAVOC_01993,93.33333333333333,1,False
GLOB2_935,GLOB_GAVOC_02006,100.0,1,False
GLOB_841,GLOB_GAVOC_02024,100.0,1,False
GLOB_499,GLOB_GAVOC_02032,82.35294117647058,1,False
GLOB2_1372,GLOB_GAVOC_02055,100.0,no_coordinates,False
GLOB_731,GLOB_GAVOC_02056,100.0,1,False
GLOB_E_23,GLOB_GAVOC_02069,100.0,1,False
