external_id,pref_label,label,longitude,latitude,point_coord,coord_source,coord_source_page,coord_remarks,place_type,pp_uri,pp_type_label,attestation_id
GLOB_GAVOC_84161,Jahucien,Jahucien,-,-,POINT EMPTY,https://www.zotero.org/groups/4678659/items/HRI8XQQI,405,-,settlement,https://digitaalerfgoed.poolparty.biz/globalise/79dd26ba-f8df-4c5e-8783-27417a48fa99,settlements,4161
GLOB_GAVOC_84162,Jaji,Jaji,-,-,POINT EMPTY,https://www.zotero.org/groups/4678659/items/HRI8XQQI,405,-,settlement,https://digitaalerfgoed.poolparty.biz/globalise/79dd26ba-f8df-4c5e-8783-27417a48fa99,settlements,4162
GLOB_GAVOC_84163,Jakasjempalem,Jakasjempalem,-,-,POINT EMPTY,https://www.zotero.org/groups/4678659/items/HRI8XQQI,405,-,settlement,https://digitaalerfgoed.poolparty.biz/globalise/79dd26ba-f8df-4c5e-8783-27417a48fa99,settlements,4163
GLOB_GAVOC_84169,Jamawarom,Jamawarom,-,-,POINT EMPTY,https://www.zotero.org/groups/4678659/items/HRI8XQQI,405,-,settlement,https://digitaalerfgoed.poolparty.biz/globalise/79dd26ba-f8df-4c5e-8783-27417a48fa99,settlements,4169
GLOB_GAVOC_84171,Jambo,Jambo,-,-,POINT EMPTY,https://www.zotero.org/groups/4678659/items/HRI8XQQI,405,-,settlement,https://digitaalerfgoed.poolparty.biz/globalise/79dd26ba-f8df-4c5e-8783-27417a48fa99,settlements,4171
GLOB_GAVOC_84183,Jan de Wasser Zoutpan,Jan de Wasser Zoutpan,-,-,POINT EMPTY,https://www.zotero.org/groups/4678659/items/HRI8XQQI,405,-,salt pan,https://digitaalerfgoed.poolparty.biz/globalise/313f2a2a-6033-4593-9a19-9bc033e1f506,salt pans,4183
GLOB_GAVOC_84191,Jan Poolan,Jan Poolan,-,-,POINT EMPTY,https://www.zotero.org/groups/4678659/items/HRI8XQQI,405,-,mountain,https://digitaalerfgoed.poolparty.biz/globalise/617a0924-1516-4be8-a478-b451bf47f5bf,mountains,4191
GLOB_GAVOC_84192,Janatanh,Janatanh,-,-,POINT EMPTY,https://www.zotero.org/groups/4678659/items/HRI8XQQI,405,-,settlement,https://digitaalerfgoed.poolparty.biz/globalise/79dd26ba-f8df-4c5e-8783-27417a48fa99,settlements,4192
GLOB_GAVOC_84193,Jandannegre,Jandannegre,-,-,POINT EMPTY,https://www.zotero.org/groups/4678659/items/HRI8XQQI,405,-,region,https://digitaalerfgoed.poolparty.biz/globalise/06278cc4-0ec4-4376-b869-8c21bf507894,regions,4193
GLOB_GAVOC_84194,Janfu,Janfu,-,-,POINT EMPTY,https://www.zotero.org/groups/4678659/items/HRI8XQQI,405,-,settlement,https://digitaalerfgoed.poolparty.biz/globalise/79dd26ba-f8df-4c5e-8783-27417a48fa99,settlements,4194
